region_id,date,lat,lon,ValidFrac_Land,ValidPixCount,LandPixCount,WaterFrac_Valid,WaterPixCount,WaterFrac_Valid_NoPerm,WaterPixCount_NoPerm,NDWI_mean,DSWE_mean,n_scenes,CC_min,CC_med,ROI_ValidFrac,ROI_ValidPix
30.0,2019-09-11,9.550044806844625,-13.15006015180468,0.0034873329894435524,480.0,137641,0.0,0.0,0.0,0.0,-0.6529132019481428,0.0,1,,,0.20177836191051243,1353408.588235295
31.0,2019-09-11,9.5500448068442,-13.050059694377682,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.20177836191051243,1353408.588235295
32.0,2019-09-11,9.650045274124125,-13.750062896373425,0.05113256409719459,7037.937254901961,137641,1.0,7037.937254901961,1.0039589362747774,7065.799999999999,0.7143134366590213,3.942838643675676,1,,,0.20177836191051243,1353408.588235295
33.0,2019-09-11,9.650045274122947,-13.650062438948773,0.3044213769523474,41900.86274509805,137641,0.5502647706257159,23056.568627450983,0.5502647706257159,23056.568627450983,-0.04765479128493855,1.7933274807388493,1,,,0.20177836191051243,1353408.588235295
34.0,2019-09-11,9.65004527412241,-13.550061981518583,0.2527938622939386,34794.8,137641,0.09549590123563653,3322.760784313726,0.09549590123563653,3322.760784313726,-0.45929675223871036,0.2789026171816974,1,,,0.20177836191051243,1353408.588235295
35.0,2019-09-11,9.650045274122597,-13.45006152409026,0.10982095935561836,15115.866666666667,137641,0.057731831453042726,872.6666666666667,0.057731831453042726,872.6666666666667,-0.5128661940660851,0.16720179237710484,1,,,0.20177836191051243,1353408.588235295
36.0,2019-09-11,9.650045274122666,-13.350061066661208,0.09142576218810772,12583.933333333334,137641,8.264506593063112E-4,10.4,8.264506593063112E-4,10.4,-0.6316757961882054,0.0015734349090639383,1,,,0.20177836191051243,1353408.588235295
37.0,2019-09-11,9.650045274124125,-13.250060609236977,0.030190303248390865,4155.423529411767,137641,0.0,0.0,0.0,0.0,-0.6611908845616459,0.0,1,,,0.20177836191051243,1353408.588235295
38.0,2019-09-11,9.650045274124045,-13.150060151806525,0.007767350443203274,1069.1058823529418,137641,0.0,0.0,0.0,0.0,-0.6559931943874561,0.0,1,,,0.20177836191051243,1353408.588235295
39.0,2019-09-11,9.650045274123608,-13.050059694376719,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.20177836191051243,1353408.588235295
40.0,2019-09-11,9.750045741339362,-13.750062896373532,0.17364238858456751,23964.733333333334,138012,0.42165014702159553,10104.733333333332,0.4224568880382561,10124.066666666664,-0.2815469651313506,1.3746588737339032,1,,,0.20177836191051243,1353408.588235295
41.0,2019-09-11,9.750045741340204,-13.650062438949009,0.46083526127026175,63600.79607843136,138012,0.267703641396029,17026.164705882355,0.267703641396029,17026.164705882355,-0.33865046744495353,0.8180751591282956,1,,,0.20177836191051243,1353408.588235295
42.0,2019-09-11,9.750045741339749,-13.550061981519372,0.5485218960783743,75702.6039215686,138012,0.12137718059171072,9188.56862745098,0.12137718059171072,9188.56862745098,-0.46770228130941977,0.3813823276677509,1,,,0.20177836191051243,1353408.588235295
43.0,2019-09-11,9.75004574133917,-13.45006152408987,0.42807340424504153,59079.26666666667,138012,0.0020909760784663316,123.53333333333333,0.0020909760784663316,123.53333333333333,-0.607803747577546,0.004681845520537944,1,,,0.20177836191051243,1353408.588235295
44.0,2019-09-11,9.750045741339646,-13.350061066661025,0.19973918153181333,27566.40392156862,138012,0.0019443957997750322,53.6,0.0019443957997750322,53.6,-0.6603097052374756,0.0035260311891442747,1,,,0.20177836191051243,1353408.588235295
45.0,2019-09-11,9.750045741338472,-13.25006060923686,0.20901279968266467,28846.274509803916,138012,3.466652165638001E-5,1.0,3.466652165638001E-5,1.0,-0.701990826171156,3.466652165638E-5,1,,,0.20177836191051243,1353408.588235295
46.0,2019-09-11,9.750045741339944,-13.150060151805212,0.1832714177170157,25293.65490196077,138012,0.0,0.0,0.0,0.0,-0.7052680005484089,0.0,1,,,0.20177836191051243,1353408.588235295
47.0,2019-09-11,9.750045741339726,-13.050059694378712,1.7969451931716064E-4,24.799999999999972,138012,0.0,0.0,0.0,0.0,-0.6699537604159643,0.0,1,,,0.20177836191051243,1353408.588235295
48.0,2019-09-11,9.850046208496948,-13.750062896372858,0.3014208460172963,41487.866666666676,137641,0.369041324248261,15310.737254901956,0.3701789117460846,15357.933333333329,-0.17324081006096062,1.390743393343633,1,,,0.20177836191051243,1353408.588235295
49.0,2019-09-11,9.850046208497377,-13.650062438948376,0.5629429842424688,77484.03529411765,137641,0.1268502166847374,9828.866666666665,0.1268502166847374,9828.866666666665,-0.5147790324029241,0.4518453364890498,1,,,0.20177836191051243,1353408.588235295
50.0,2019-09-11,9.850046208496327,-13.550061981521555,0.8615676103121914,118587.02745098034,137641,0.014725612946057788,1746.2666666666664,0.014725612946057788,1746.2666666666664,-0.6749916878062587,0.04906157774358286,1,,,0.20177836191051243,1353408.588235295
51.0,2019-09-11,9.850046208495952,-13.450061524088675,0.6924606225544683,95310.97254901957,137641,6.295182852020662E-4,60.0,6.295182852020662E-4,60.0,-0.7019844788215356,0.0014478920559647522,1,,,0.20177836191051243,1353408.588235295
52.0,2019-09-11,9.850046208495874,-13.350061066661818,0.2565429731878511,35310.83137254901,137641,0.0,0.0,0.0,0.0,-0.7111969004052078,0.0,1,,,0.20177836191051243,1353408.588235295
53.0,2019-09-11,9.850046208496465,-13.250060609236673,0.22854248142831354,31456.815686274505,137641,0.0,0.0,0.0,0.0,-0.6967984610273475,0.0,1,,,0.20177836191051243,1353408.588235295
54.0,2019-09-11,9.850046208495256,-13.150060151805132,0.10375425357042069,14280.839215686274,137641,0.0,0.0,0.0,0.0,-0.7009536637691565,0.0,1,,,0.20177836191051243,1353408.588235295
55.0,2019-09-11,9.850046208495671,-13.05005969437859,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.20177836191051243,1353408.588235295
56.0,2019-09-11,9.950046675592342,-13.750062896373633,0.18648373553764688,25667.807843137256,137641,0.16588613096041097,4257.933333333331,0.16588613096041097,4257.933333333331,-0.5487014421125495,0.4188021586817149,1,,,0.20177836191051243,1353408.588235295
57.0,2019-09-11,9.950046675591777,-13.650062438947748,0.22157690416857379,30498.066666666666,137641,0.11093380782606983,3383.266666666666,0.11093380782606983,3383.266666666666,-0.5038112145367372,0.3790557215648642,1,,,0.20177836191051243,1353408.588235295
58.0,2019-09-11,9.950046675594129,-13.55006198152084,0.3051882768059164,42006.41960784314,137641,0.0,0.0,0.0,0.0,-0.7081321280685591,0.0,1,,,0.20177836191051243,1353408.588235295
59.0,2019-09-11,9.950046675593795,-13.450061524090117,0.5436568646682597,74829.47450980393,137641,1.3363718060975867E-5,1.0,1.3363718060975867E-5,1.0,-0.7087225631124812,1.3363718060975867E-5,1,,,0.20177836191051243,1353408.588235295
60.0,2019-09-11,9.950046675591896,-13.350061066662409,0.4381091988237089,60301.788235294116,137641,0.0,0.0,0.0,0.0,-0.7115834485318371,0.0,1,,,0.20177836191051243,1353408.588235295
61.0,2019-09-11,9.950046675591679,-13.250060609235701,0.11005675321036211,15148.32156862745,137641,3.300695708992027E-4,5.0,3.300695708992027E-4,5.0,-0.7103574244015937,3.960834850790433E-4,1,,,0.20177836191051243,1353408.588235295
62.0,2019-09-11,9.950046675592862,-13.150060151806134,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.20177836191051243,1353408.588235295
63.0,2019-09-11,9.95004667559305,-13.050059694376953,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.20177836191051243,1353408.588235295
0.0,2019-09-18,9.250043404669062,-13.750062896374907,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.026487370689464464,177661.44313725532
1.0,2019-09-18,9.250043404668721,-13.650062438949137,0.0,0.0,137641,0,0.0,0,0.0,,,1,,,0.026487370689464464,177661.44313725532
