Region_ID,Date,lon,lat,ValidFrac_Land,WaterFrac_Valid,ValidPixCount,WaterPixCount,LandPixCount,WI_mean,NDWI_mean,DSWE_mean,system:index,Precip_mm,.geo,rain_sum_7,rain_sum_15,rain_sum_30,rain_sum_60,rain_sum_90,rain_days_7
15,2015-02-04,-12.75,9.75,0.9797961779557376,0.00024923550348691925,842875.540863491,210.0745098039216,860256,-0.472513765784241,-0.4837155851602655,0.0002946704035333028,34_14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.006316229701042003,0.1725144684314725,0.1735137775540349,0.17351564019918414,0.17351564019918414,0.0
1,2015-03-08,-13.75,9.25,0.4306339183724061,0.97124819783242,370056.2144410414,359416.431372549,859329,0.4250016964652908,0.3270907477858882,1.552048719393001,66_0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.008122995495796198,0.01012906432151793,3.889620304107666,4.101769998669623,4.101771861314773,0.0
6,2015-03-08,-13.75,9.5,0.6196719419588724,0.6181598299326099,533076.5061017717,329526.48235294106,860256,0.1992897765916614,0.0661061805380247,1.5058234474081176,66_1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.012492761015891996,0.015759840607643044,2.208216115832329,2.495781518518924,2.495783381164073,0.0
11,2015-03-08,-13.75,9.75,0.8174807266732836,0.0983657239456829,702484.8953714261,69100.43529411765,859329,-0.2697610952493531,-0.4158860690920126,0.2586347760687131,66_2,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.012685544788837393,0.024508684873580853,0.5386332049965855,0.611054711043834,0.6110565736889833,0.0
2,2015-03-08,-13.5,9.25,0.5388249270805296,0.2694685436055342,463527.37647058815,124906.04705882352,860256,-0.1094959501158551,-0.2542576347476408,0.5319596970592012,66_3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.007574446499347593,0.03193691372871375,7.524274289608002,7.761103101074695,7.761104963719844,0.0
7,2015-03-08,-13.5,9.5,0.6265468944898114,0.0008858870689421534,539572.1607843137,478.0,861184,-0.3970858078236146,-0.4495178980398487,0.0009975496760132342,66_4,0.0003390014171600342,"{""type"":""MultiPoint"",""coordinates"":[]}",0.004134140908718093,0.04062335938215253,1.6420874744653702,1.859582960605621,1.8595848232507701,0.0
12,2015-03-08,-13.5,9.75,0.9761403293884184,0.0,839730.5751983634,0.0,860256,-0.4431354747147277,-0.4753516136291585,0.0,66_5,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.024244189262390095,0.14467723667621601,1.1566765606403349,1.2317569926381107,1.23175885528326,0.0
3,2015-03-08,-13.25,9.25,0.8697635066107087,0.0110399009235481,748219.2751429018,8260.266666666666,860256,-0.3744355714715957,-0.4921830716696052,0.0172866878680356,66_6,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",8.381903171539307e-06,0.8479421958327293,9.9494569003582,10.305996984243393,10.305998846888542,0.0
8,2015-03-08,-13.25,9.5,0.9792085469926672,0.0,843278.7333333332,0.0,861184,-0.4350058185436112,-0.504974121528823,0.0,66_7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.003009103238582593,0.8648857474327086,13.133441098034382,14.448851346969604,14.448853209614754,0.0
13,2015-03-08,-13.25,9.75,0.979388430223218,0.0,842524.7734301046,0.0,860256,-0.455210384512473,-0.4913503661603754,0.0,66_8,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.015525147318839992,0.02234056591987591,1.076400279998779,2.205228433012962,2.205230295658111,0.0
4,2015-03-08,-13.0,9.25,0.9820424831233512,0.0,843897.5849799062,0.0,859329,-0.4245639490204571,-0.5386415843090928,0.0,66_9,0.0181216746568679,"{""type"":""MultiPoint"",""coordinates"":[]}",8.381903171539307e-06,0.6377641111612318,9.94688458740711,11.344003491103647,11.344005353748797,0.0
9,2015-03-08,-13.0,9.5,0.980527032354436,0.0,843504.2627450977,0.0,860256,-0.4357179654170077,-0.5094462576192194,0.0,66_10,0.0470252707600593,"{""type"":""MultiPoint"",""coordinates"":[]}",0.003009103238582593,0.46515837311744673,13.964541256427767,15.647717751562597,15.647719614207746,0.0
14,2015-03-08,-13.0,9.75,0.9807404783877406,0.0,842778.7345524587,0.0,859329,-0.4539586966883971,-0.498969353371878,0.0,66_11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.005926005542278193,0.09795930236577977,3.073978237807751,3.4890975803136826,3.489099442958832,0.0
5,2015-03-08,-12.75,9.25,0.9808737057060002,0.0,843802.4905758209,0.0,860256,-0.4238265595333564,-0.4663376148490941,0.0,66_12,0.0181216746568679,"{""type"":""MultiPoint"",""coordinates"":[]}",8.381903171539307e-06,0.42598694562911976,6.311080418527125,6.999953649938106,6.999955512583255,0.0
10,2015-03-08,-12.75,9.5,0.9795537885264508,0.0,843576.049818363,0.0,861184,-0.4124268991524754,-0.4284024189627307,0.0,66_13,0.0447314232587814,"{""type"":""MultiPoint"",""coordinates"":[]}",8.381903171539307e-06,0.18975045531988133,7.158004678785801,7.823817431926727,7.8238192945718765,0.0
15,2015-03-08,-12.75,9.75,0.9797961779557376,0.0,842875.5408634911,0.0,860256,-0.4091866624198237,-0.4183112579368339,0.0,66_14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.001251697540283193,0.05490612238645544,1.2118471786379812,1.3853618875145908,1.38536375015974,0.0
1,2015-04-09,-13.75,9.25,0.5137212955850456,0.998043221721284,441455.6072138017,440591.7764705884,859329,0.3997071169792904,0.3671231585574827,1.7123274054554505,98_0,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.15928596258163433,0.20467117428779577,0.4046810790896411,4.294300451874733,4.505109041929244,0.0
6,2015-04-09,-13.75,9.5,0.5521628977195994,0.7231225957550004,475001.4457406717,343484.2784313725,860256,0.2397856937870044,0.1596473702372296,1.586901851611786,98_1,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.08798670023679704,0.12782029807567558,0.381196849048137,2.5888588279485694,2.8706472367048246,0.0
11,2015-04-09,-13.75,9.75,0.5970172906588782,0.0514146747466164,513034.27136460313,26377.490196078437,859329,-0.356850562621938,-0.4525648706245744,0.0881013717462454,98_2,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.03249291330575933,0.042974948883056474,0.8428292348980897,1.381461508572101,1.451892778277396,0.0
2,2015-04-09,-13.5,9.25,0.5261186410173934,0.2603445011250677,452596.7176470588,117831.06666666668,860256,-0.1488899791061429,-0.2981689264555168,0.3960939897586432,98_3,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.13816915452480283,0.17710682004690137,0.972703099250793,8.496976457536219,8.724731393158434,0.0
7,2015-04-09,-13.5,9.5,0.7151677453457603,0.001867640066956,615891.0196078432,1150.2627450980392,861184,-0.4086785866384594,-0.4712623920664247,0.0020544439173971,98_4,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16302615404129006,0.17669145017862287,2.0990278571844097,3.7414534017443652,3.958946093916892,0.0
12,2015-04-09,-13.5,9.75,0.9441625797645948,0.0,812221.5242179713,0.0,860256,-0.4650448123959764,-0.4942988833260168,0.0,98_5,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3656204789876935,0.36745518445968595,5.169556476175784,6.326232105493545,6.401309743523597,0.0
3,2015-04-09,-13.25,9.25,0.8162476319407584,0.0097880952294956,702181.9228628291,6873.023529411765,860256,-0.4329409993440841,-0.5452641277322156,0.0133968761612931,98_6,0.0052526593208312,"{""type"":""MultiPoint"",""coordinates"":[]}",1.3868454843759537,1.4008618891239166,4.85185720026493,14.801313169300556,15.157850459218025,0.0
8,2015-04-09,-13.25,9.5,0.944341442916346,0.0,813251.7411764705,0.0,861184,-0.4709190752955487,-0.5407875028369924,0.0,98_7,0.019247643649578,"{""type"":""MultiPoint"",""coordinates"":[]}",3.588447347283364,3.6341398954391484,10.892906226217747,24.02922511100769,25.34463256597519,1.0
13,2015-04-09,-13.25,9.75,0.9793721559978712,0.0,842510.7734301047,0.0,860256,-0.4837301024627696,-0.5210005258670324,0.0,98_8,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4390683025121688,0.4394473508000373,15.908687375485897,16.997432336211205,18.126257695257664,0.0
4,2015-04-09,-13.0,9.25,0.9821274331250384,0.0,843970.5849799061,0.0,859329,-0.4930884447320655,-0.6027506280209738,0.0,98_9,0.0406019389629364,"{""type"":""MultiPoint"",""coordinates"":[]}",4.932617768645287,5.19225187599659,12.032863683998585,22.04893436282873,23.446050472557545,3.0
9,2015-04-09,-13.0,9.5,0.9801794613988136,0.0,843205.2627450977,0.0,860256,-0.495159931906635,-0.5741150697705087,0.0,98_10,0.0144876539707183,"{""type"":""MultiPoint"",""coordinates"":[]}",8.336844854056835,9.001928381621838,20.554247312247753,34.6993887796998,36.38256248086691,3.0
14,2015-04-09,-13.0,9.75,0.9807416420863936,0.0,842779.7345524586,0.0,859329,-0.5013421789226221,-0.5516795095054002,0.0,98_11,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8862419053912162,0.8862521499395369,12.784195132553576,15.917162410914896,16.332278959453102,0.0
5,2015-04-09,-12.75,9.25,0.9811651461823004,0.0,844053.203994201,0.0,860256,-0.4950926345885202,-0.5465170472922407,0.0,98_12,0.0537084415555,"{""type"":""MultiPoint"",""coordinates"":[]}",4.088053479790688,4.347687587141991,10.665934532880783,17.196426168084145,17.8852966055274,2.0
10,2015-04-09,-12.75,9.5,0.9795526273344176,0.0,843575.049818363,0.0,861184,-0.4920419108227279,-0.5241875536909901,0.0,98_13,0.0057155266404151,"{""type"":""MultiPoint"",""coordinates"":[]}",4.668190144002438,4.9526141956448555,10.410385206341743,17.72331353276968,18.389123491942883,2.0
15,2015-04-09,-12.75,9.75,0.9797961779557376,0.0,842875.540863491,0.0,860256,-0.4727471714782973,-0.4898023381647391,0.0,98_14,3.725290298461914e-06,"{""type"":""MultiPoint"",""coordinates"":[]}",1.5332233160734177,1.5332335606217384,6.387951783835888,7.629500702023505,7.803012616932391,1.0
1,2015-05-11,-13.75,9.25,0.9724567043928012,0.98820026099019,835660.2473291614,825799.6745098039,859329,0.4786465648549341,0.423985839283271,3.4093862136148667,130_0,1.7461031675338743,"{""type"":""MultiPoint"",""coordinates"":[]}",4.028323106467724,7.270636968314648,8.96443985402584,9.369123727083204,13.25703877955675,1.0
6,2015-05-11,-13.75,9.5,0.5814198466936208,0.5970419504650445,500169.91163726745,298622.4196078431,860256,0.3260513222997723,0.208649363288276,1.3813876869204298,130_1,2.219501882791519,"{""type"":""MultiPoint"",""coordinates"":[]}",3.969769924879074,7.445023395121097,8.874977007508276,9.256176650524138,11.460223235189913,2.0
11,2015-05-11,-13.75,9.75,0.0,0.0,0.0,0.0,859329,,,0.0,130_2,0.7654717192053795,"{""type"":""MultiPoint"",""coordinates"":[]}",8.23299866169691,10.616282932460308,11.259724386036394,12.102556414902208,12.641189619898794,2.0
